word,part_of_speech,is_ste,approved_meaning,ste_example,non_ste_example
"PAINT (verb) , PAINTS, PAINTED, PAINTED",,1,To apply paint to something,PAINT ALL THE SURFACES.,
PAIR,noun,1,"Two objects that are the same or almost the same, and/or that you use together",MEASURE THE DISTANCE BETWEEN EACH PAIR OF AXLES.,
PARALLEL,adjective,1,Along lines that stay a constant distance apart at all points,MAKE SURE THAT THE SURFACE IS PARALLEL TO THE AXIS OF THE SHAFT.,
"PARK (verb) , PARKS, PARKED, PARKED",,1,To stop a vehicle and to let it stay in one position on the ground,PARK THE CAR IN THE PERMITTED AREA.,
PART,noun,1,"1. A constituent of an object, machine, component, assembly, or equipment",REPLACE THE DEFECTIVE PARTS.,
PARTICLE,noun,1,A very small piece of material,"IF THERE ARE METAL PARTICLES IN THE DISASSEMBLED PUMP, FIND THE SOURCE OF CONTAMINATION.",
PASTE,noun,1,"A wet, flexible mixture or compound",MIX THE MATERIALS UNTIL THEY MAKE A SOLID PASTE.,
PATCH,noun,1,A piece of material that you use to repair a surface or hole,BOND THE PATCH TO THE TUBE WITH ADHESIVE.,
PERFORMANCE,verb,1,"The ability of a part, a mechanism, or system to do its necessary function when you compare it with a standard or specification For other meanings, use:",THESE ADJUSTMENTS WILL INCREASE THE PERFORMANCE OF THE ENGINE.,
PERIOD,noun,1,A quantity of time,THE EMERGENCY LOCATOR TRANSMITTER HAS A STANDBY PERIOD OF 30 SECONDS.,
PERMANENT,adjective,1,Without a limit in time,MAKE SURE THAT THE PERMANENT INSTALLATION OF THE SYSTEM IS SAFE.,
PERMANENTLY,adverb,1,In a permanent manner,THE “NO SMOKING” SIGNS WILL STAY ON PERMANENTLY.,
PERMITTED,adjective,1,Allowed,A MAXIMUM OF TWO WASHERS IS PERMITTED FOR EACH BOLT.,
PERPENDICULAR,adjective,1,At a 90 degree angle to a given line or plane,MAKE SURE THAT THE TOOL AND FASTENER ARE PERPENDICULAR TO THE WORK SURFACE.,
PERSON,noun,1,A human being,"WHEN YOU DO WORK IN ISOLATED LOCATIONS, MAKE SURE THAT THERE IS ALWAYS A PERSON NEAR YOU.",
PERSONNEL,noun,1,Persons employed in a group or organization,TELL YOUR PERSONNEL ABOUT THESE NEW REGULATIONS.,
PIECE,noun,1,"A quantity or segment of a whole that you can use on its own, or that can operate as an individual item",REMOVE ALL PIECES OF THE BROKEN SEAL.,
PLAY,noun,1,"Free movement, the length or dimension of this movement",THE AXIAL PLAY BETWEEN THE TWO GEARS MUST BE LESS THAN 0.05 mm.,
PLUS,preposition,1,With the addition of,"INCREASE THE PRESSURE IN THE SHOCK ABSORBER TO 85.5 bar, PLUS OR MINUS 2.7 bar.",
PNEUMATIC,adjective,1,"Related to, or operated by gas pressure",INSTALL THE PNEUMATIC CONTROLLER.,
PNEUMATICALLY,adverb,1,With pneumatic power,SOME VALVES IN THE SYSTEM OPERATE PNEUMATICALLY.,
POINT,noun,1,1. A sharp or tapered end,PUT THE POINT OF THE TOOL IN THE SLOT.,
"POINT (verb) , POINTS, POINTED, POINTED",,1,1. To show the position or direction of,MAKE SURE THAT THE ARROW ON THE CHECK VALVE POINTS AWAY FROM THE GROUND SUPPLY DUCT.,
POISONOUS,adjective,1,That contains poison,DO NOT SWALLOW LUBRICATING OIL. IT IS POISONOUS.,
"POLISH (verb) , POLISHES, POLISHED, POLISHED",,1,To make smooth or shiny,POLISH THE WINDOW PANE WITH A SOFT CLOTH.,
POSITION,noun,1,,"The attitude or setting of something that you can adjust, or the place or site where you put something",
POSSIBLE,adjective,1,,That can occur,
POSSIBLY,adverb,1,,That can occur,
PRECAUTION,noun,1,,That which you do to prevent injury and/or damage,
PRECISION,noun,1,The quality of being accurate,THE TEMPERATURE OF THE OIL HAS AN EFFECT ON THE PRECISION OF THE OIL LEVEL INDICATOR.,
"PREPARE (verb) , PREPARES, PREPARED, PREPARED",,1,To make or become ready,PREPARE THE TUBE FOR THE LEAK TEST.,
PRESSURIZATION,noun,1,The procedure that supplies or increases the pressure,CONTINUE THE PRESSURIZATION FOR 10 MINUTES.,
"PRESSURIZE (verb) , PRESSURIZES, PRESSURIZED, PRESSURIZED",,1,To supply pressure,PRESSURIZE THE CHAMBER TO 150 psi.,
"PREVENT (verb) , PREVENTS, PREVENTED, PREVENTED",,1,To make sure that something does not occur,"TO PREVENT DAMAGE TO THE ENGINE, IMMEDIATELY INSTALL PROTECTIVE COVERS ON ALL OPENINGS.",
PREVIOUS,adjective,1,That goes before in an unspecified time or sequence,"IF YOU SELECTED “YES” IN A PREVIOUS STEP, GO TO PARAGRAPH 7.5.",
PREVIOUSLY,adverb,1,"Before, earlier, in the past",THIS SOFTWARE FINDS TERMS FROM PREVIOUSLY TRANSLATED FILES.,
PRIMARY,adjective,1,First in importance,THE PRIMARY FUNCTION OF THE POWER UNIT IS TO SUPPLY ELECTRICAL POWER.,
PROBLEM,noun,1,Something that is difficult and for which you must find the correct answer,"IF YOU FIND A PROBLEM DURING THE TEST, REFER TO THE FAULT ISOLATION TABLE.",
PROCEDURE,noun,1,Steps that are in a sequence,THIS SECTION GIVES THE PROCEDURE TO DISASSEMBLE THE COMPONENT FULLY.,
PROPERTY,noun,1,A characteristic or attribute of an object,THE MAGNETIC PROPERTIES OF THIS METAL DECREASE AT HIGH TEMPERATURES.,
PROPORTION,noun,1,"The ratio of something to something else For other meanings, use:",ALWAYS MIX CLEANING AGENTS WITH COLD WATER IN THE CORRECT PROPORTIONS.,
PROTECTION,noun,1,"Something to prevent injury, damage, or failure",APPLY TWO LAYERS OF SEALING COMPOUND ON THE SURFACES THAT HAVE NO PROTECTION.,
PROTECTIVE,adjective,1,That gives protection,REMOVE THE PROTECTIVE LAYER.,
PROTRUDE (verb) PROTRUDES PROTRUDED PROTRUDED,,1,To be farther forward or out from an adjacent surface,"IF THE POP-OUT INDICATOR PROTRUDES, REPLACE THE FILTER ELEMENT.",
"PULL (verb) , PULLS, PULLED, PULLED",,1,To use a force on something to move it toward the source of the force Use this word together with a preposition or an adverb to show direction.,PULL THE CABLE DOWN AND AWAY FROM THE BRACKET.,
"PUSH (verb) , PUSHES, PUSHED, PUSHED",,1,1. To apply a force to something to move it away from the source of the force,PUSH THE INSERT DOWN UNTIL IT TOUCHES THE BOTTOM OF THE HOLE.,
"PUT (verb) , PUTS, PUT No other verb forms.",,1,To cause something to move or to be in a specified position or condition,PUT THE ADAPTER IN POSITION AGAINST ITS SUPPORT.,
"PUT ON (verb) , PUTS ON, PUT ON No other verb forms.",,1,"To cover your skin or face with clothing, or other items that give protection",PUT ON SAFETY GOGGLES AND PROTECTIVE CLOTHING.,
QUALITY,noun,1,"Condition, property, or type",THIS MEDICAL EQUIPMENT MUST BE OF GOOD QUALITY.,
QUANTITY,noun,1,A specified amount or number,APPLY A SMALL QUANTITY OF LUBRICATING OIL ON THE THREADS OF THE BOLTS.,
QUICKLY,adverb,1,In a fast manner,MAKE SURE THAT THE PRESSURE DECREASES QUICKLY.,
RADIAL,adjective,1,Along a radius,"DO A CHECK FOR RADIAL CUTS, CRACKS, OR SPLITS.",
RADIALLY,adverb,1,Along a radius,THE FAN BLADES ARE INSTALLED RADIALLY.,
RADIOACTIVE,adjective,1,Related to radioactivity,DO A CHECK FOR RADIOACTIVE CONTAMINATION.,
RANDOM,adjective,1,Not regular,"DURING THIS PROCEDURE, DO RANDOM CHECKS OF THE TIRE PRESSURE.",
RANDOMLY,adverb,1,Not regularly,DO THESE CHECKS RANDOMLY.,
RANGE,noun,1,The limits within which something operates,THE AUDIO SPECTRUM IS THE FREQUENCY RANGE AT WHICH HUMANS CAN HEAR.,
RATE,noun,1,A measurement of how frequently or how quickly something occurs,MAKE SURE THAT THE FLOW RATE IS CORRECT.,
"READ (verb) , READS, READ, READ",,1,To come to know information with the eyes or electronically,READ THE INDICATORS ON THE CONTROL PANEL.,
REAR,adjective,1,Away from the person who looks or from a reference point,INSTALL THE TWO BOLTS IN THE REAR FITTINGS.,
REAR,noun,1,The rear part or rear surface,THE CIRCUIT BREAKERS ARE INSTALLED ON THE REAR OF THE UNIT.,
REARWARD,adverb,1,In the direction of the rear,PULL THE LEVER REARWARD.,
"RECEIVE (verb) , RECEIVES, RECEIVED, RECEIVED",,1,"To get energy, material, or a signal from a different source",MAKE SURE THAT THE CAPTAIN'S BOOMSET RECEIVES THE SIGNALS CORRECTLY.,
RECESS,noun,1,An indentation in a surface,"WHEN YOU CLEAN THE SURFACES, REMOVE THE STAINS FROM THE RECESSES.",
"RECOMMEND (verb) , RECOMMENDS, RECOMMENDED, RECOMMENDED",,1,To advise that which is best,THE MANUFACTURER RECOMMENDS THAT YOU KEEP THE UNIT IN A DEDICATED AREA.,
"RECORD (verb) , RECORDS, RECORDED, RECORDED",,1,1. To make notes of and keep data to use subsequently,RECORD THE RESULTS.,
RECYCLE,noun,1,"To put a used material through a process to make it possible to use it or its components again For other meanings, use:",MAKE SURE THAT YOU RECYCLE THE REMOVED INSULATION MATERIAL.,
"REFER (verb) , REFERS, REFERRED, REFERRED",,1,1. To tell a person where to find information,REFER TO CHAPTER 28 FOR THE INSTALLATION PROCEDURE.,
REFLECTION,noun,1,Something that occurs when energy comes against a surface which sends it back,A CLEAN SURFACE GIVES A BETTER REFLECTION.,
"REFUEL (verb) , REFUELS, REFUELED, REFUELED",,1,To supply with fuel,REFUEL THE VEHICLE.,
REGULAR,adjective,1,At specified or equal intervals,THE COMPUTER GIVES REGULAR INPUTS TO THE CONTROL SYSTEM.,
REGULARLY,adverb,1,In a regular manner,"IF THE FAILURE OCCURS REGULARLY, DO A SYSTEM TEST.",
"REJECT (verb) , REJECTS, REJECTED, REJECTED",,1,To make a decision that something is unsatisfactory,REJECT THE PARTS THAT ARE DAMAGED.,
RELATED,adjective,1,That has a relation,CLEAN THE BALLS OF THE ELECTRICAL LATCH AND ITS RELATED SOCKETS.,
RELATION,noun,1,"The connection between two or more things caused by their functions, values, or conditions",THE RELATION BETWEEN THE TWO CONTROL SYSTEMS KEEPS THE AIRCRAFT STABLE.,
"RELEASE (verb) , RELEASES, RELEASED, RELEASED",,1,"To make free, to let go",RELEASE THE INSTRUMENT PANEL TO GET ACCESS TO THE CONNECTIONS.,
REMAINING,adjective,1,That continues to stay,REMOVE THE REMAINING SEALANT WITH SOLVENT.,
REMOVAL,noun,1,A procedure which removes an object,THE SUPERVISOR MUST GIVE THE APPLICABLE PROCEDURE FOR CORROSION REMOVAL.,
"REMOVE (verb) , REMOVES, REMOVED, REMOVED",,1,To take or move something away from its initial position,REMOVE THE INDICATOR FROM THE PANEL.,
REPAIR,noun,1,The act of repairing or the result when something is repaired,"AFTER THE REPAIR, APPLY A PROTECTIVE LAYER OF GREASE TO ALL EXTERNAL SURFACES.",
"REPAIR (verb) , REPAIRS, REPAIRED, REPAIRED",,1,To make an item serviceable,REPAIR THE DEFECTIVE WIRING.,
"REPLACE (verb) , REPLACES, REPLACED, REPLACED",,1,To remove an item and to install a new or serviceable item of the same type,REPLACE THE RELAY.,
REPLACEMENT,noun,1,The item you install when you replace an item,MAKE SURE THAT THE REPLACEMENT HAS THE CORRECT DIMENSIONS.,
REPORT,noun,1,The information that is recorded about a subject or occurrence,"IF THERE IS A REPORT OF DAMAGE, DO AN ACCURATE INSPECTION.",
RESISTANT,adjective,1,That will help to prevent something,THE MATERIAL OF THE SEATS IS RESISTANT TO FIRE.,
RESULT,noun,1,Something that occurs when you do something,"IF THESE TESTS DO NOT GIVE THE CORRECT RESULTS, REPLACE THE UNIT.",
"RETRACT (verb) , RETRACTS, RETRACTED, RETRACTED",,1,1. To pull in(to),RETRACT THE LANDING GEAR.,
RETRACTION,noun,1,The result when something retracts,"DURING THE RETRACTION SEQUENCE, MAKE SURE THAT THE LANDING GEAR DOORS CLOSE.",
RIGHT,adjective,1,On the east side when you look north,DO A FLOW CHECK OF THE PUMP IN THE RIGHT WING TANK.,
RIGID,adjective,1,That cannot easily bend or change shape,REMOVE THE SCREWS FROM THE RIGID COVER.,
RISK,noun,1,The possibility that something that is dangerous occurs,OBEY THE PRECAUTIONS TO PREVENT THE RISK OF FIRE.,
ROUGH (adjective),"ROUGHER, ROUGHEST",1,Not smooth,CLEAN THE ROUGH SURFACES CAREFULLY.,
ROUNDED,adjective,1,Not angular,"WHEN YOU INSTALL THE PART, MAKE SURE THAT THE ROUNDED EDGE IS AGAINST THE STRUCTURE.",
ROUTING,noun,1,"The specified direction that cables, pipes, wires, and other parts of a system must go along",DO NOT CHANGE THE ROUTING OF THE PIPE.,
ROW,noun,1,A number of objects in a line,THE PANELS ARE INSTALLED IN ROWS.,
"RUB (verb) , RUBS, RUBBED, RUBBED",,1,To move or cause something to move with pressure and friction along a surface,RUB THE SURFACE WITH A CLEAN CLOTH.,
"RUB (verb) , RUBS, RUBBED, RUBBED",,1,,MAKE SURE THAT THE COILS OF THE OXYGEN HOSE DO NOT RUB TOGETHER.,
SAFE (adjective),"SAFER, SAFEST",1,"Not dangerous, disarmed","BEFORE YOU CONTINUE THE WORK, MAKE THE AREA SAFE.",
SAFELY,adverb,1,In a safe manner,MAKE SURE THAT THE LADDER IS SAFELY ATTACHED.,
SAFETY,noun,1,A condition that is safe,"FOR YOUR SAFETY, ALWAYS USE A PROTECTIVE MASK.",
"SAFETY (verb) , SAFETIES, SAFETIED, SAFETIED",,1,1. To prevent accidental operation,"OPEN AND TAG THE CIRCUIT BREAKERS. THEN, SAFETY THEM.",
SAME,adjective,1,Agrees in all details,THE SAME PROCEDURE IS APPLICABLE TO THE TWO UNITS.,
SAME,pronoun,1,Agrees in all details,THE ADJUSTMENT OF THE LEFT AND RIGHT ACTUATORS MUST BE THE SAME.,
SAMPLE,noun,1,A piece or quantity of something that you use for an inspection or test procedure to show that it has specified qualities,"GET A SAMPLE OF THE FUEL. THEN, MEASURE ITS SPECIFIC GRAVITY.",
SATISFACTORILY,adverb,1,In a satisfactory manner,MAKE SURE THAT THE MICROSWITCHES OPERATE SATISFACTORILY.,
SATISFACTORY,adjective,1,Agrees with all that is necessary,A CLEARANCE OF 3 mm IS SATISFACTORY.,
"SCHEDULE (verb) , SCHEDULES, SCHEDULED, SCHEDULED",,1,To plan something in a time or a sequence,SCHEDULE THE CHECKS OF THE TIRES AT REGULAR INTERVALS.,
SEAL,noun,1,Something that prevents access or leaks,APPLY SEALANT TO THE FILLET SEALS.,
"SEAL (verb) , SEALS, SEALED, SEALED",,1,To prevent access or leaks,SEAL THE OPENINGS WITH POLYETHYLENE.,
SECONDARY,adjective,1,Second in importance,THE SECONDARY FILTER REMOVES THE REMAINING CONTAMINATION.,
SEE,verb,1,To know with the eyes,MAKE SURE THAT YOU CAN SEE THE CABLE THROUGH THE INSPECTION HOLE.,
"SELECT (verb) , SELECTS, SELECTED, SELECTED",,1,To make a choice,SELECT THE HYDRAULIC SYSTEM THAT YOU WILL PRESSURIZE.,
SELECTION,noun,1,The action or result of choosing,THE OPERATION OF THE INDICATOR DOES NOT PREVENT THE SELECTION OF SYSTEM 1.,
SEMICIRCULAR,adjective,1,That has the shape of half a circle,THE VALVE FLAPS ARE SEMICIRCULAR.,
"SEND (verb) , SENDS, SENT, SENT",,1,To cause to go,SEND THE FILTER ELEMENT TO THE MAINTENANCE SHOP FOR THE NECESSARY INSPECTION.,
"SENSE (verb) , SENSES, SENSED, SENSED",,1,To get an input automatically,THE TEMPERATURE BULB SENSES THE EXTERNAL AIR TEMPERATURE.,
SENSITIVE,adjective,1,That can sense small changes,THE CAPSULE IS SENSITIVE TO PRESSURE CHANGES.,
SEPARATION,noun,1,The action or result of separating,SEPARATION OF THESE PARTS IS NOT EASY.,
SEQUENCE,noun,1,The relation of items that follow one after the other in a list or the relation of steps or events that occur one after the other in time,TIGHTEN THE BOLTS IN THE SEQUENCE THAT IS GIVEN IN FIGURE 3.,
SERRATION,noun,1,One or more notches or teeth as in a saw,MAKE MARKS THAT SHOW THE LOCATION OF THE SERRATIONS.,
SERVICEABLE,adjective,1,Correct or satisfactory,DO A VISUAL INSPECTION OF THE ADAPTER TO MAKE SURE THAT IT IS SERVICEABLE.,
SERVICING,noun,1,The steps necessary to prepare something for operation,"BEFORE YOU DO SERVICING OF THE HYDRAULIC SYSTEM, ISOLATE IT.",
SET,noun,1,A group of related items that you (can) use for the same purpose,USE THE SET OF TOOLS THAT IS SUPPLIED WITH THE UNIT.,
"SET (verb) , SETS, SET, SET",,1,"To put something into a given adjustment, condition, or mode",SET THE ALTIMETER SCALE TO 1013 mbar.,
"SHAKE (verb) , SHAKES, SHOOK, SHAKEN",,1,To move or cause to move quickly up and down or from side to side,SHAKE THE CONTAINER.,
SHAPE,noun,1,,THE SAME SHAPE AS THE CUTOUT.,
SHARP (adjective),"SHARPER, SHARPEST",1,That can cut or make a hole,MAKE A HOLE WITH A SHARP TOOL.,
SHEET,noun,1,A piece of material that is thin in relation to its length and width,"IF THE SHEETS HAVE DENTS WITH A DEPTH OF MORE THAN 0.5 mm, REMOVE THESE DENTS.",
SHINY (adjective),"SHINIER, SHINIEST",1,That can cause a reflection of light,CLEAN THE SHINY AREA OF THE OLEO STRUT.,
SHOCK,noun,1,The sudden effect of energy on a person or object,SHOCKS CAN CAUSE DAMAGE TO THE GYROSCOPE.,
SHORT (adjective),"SHORTER, SHORTEST",1,That has small length or duration,ATTACH THE SHORT ARM OF THE BELLCRANK TO THE ROD.,
"SHOW (verb) , SHOWS, SHOWED, SHOWN",,1,,SHOWS THE LEVEL OF BATTERY CHARGE.,
SIDE,noun,1,1. The specified surface or area of an object,LUBRICATE ONE SIDE OF THE WASHER.,
SIGN,noun,1,The indication of a possible condition,EXAMINE THE SURFACE FOR SIGNS OF INTERNAL DAMAGE.,
"SIMULATE (verb) , SIMULATES, SIMULATED, SIMULATED",,1,To make a condition that is the same as one that can occur in operation,SIMULATE A WHEEL SPEED OF 80 KNOTS.,
SINCE,conjunction,1,"Function word that shows: “from some time in the past until a later time or now” For other meanings, use:","IF IT IS MORE THAN TWO HOURS SINCE YOU MIXED THE COMPOUND, DO NOT USE IT.",
SLOPE,noun,1,A surface that is not level,"IF THE VEHICLE IS PARKED ON A SLOPE, MAKE SURE THAT WHEEL CHOCKS ARE IN POSITION.",
SLOT,noun,1,A long opening that is not wide,PUSH THE CABLES THROUGH THE SLOT IN FRAME 8 AND ATTACH THEM TO THE CLIPS.,
SLOW (adjective),"SLOWER, SLOWEST",1,At low speed,MAKE SURE THAT THE MOVEMENT OF THE ELEVATORS IS SLOW.,
SLOWLY,adverb,1,In a slow manner,TURN THE KNOB SLOWLY.,
SMALL (adjective),"SMALLER, SMALLEST",1,"Less than average in dimension, quantity, quality, or capacity","IF THE TEMPERATURE INCREASES SUDDENLY, ADD A SMALL QUANTITY OF REAGENT TO GET A STABLE REACTION.",
"SMELL (verb) , SMELLS, SMELLED, SMELLED",,1,To sense with the nose,"IF YOU SMELL OIL IN THE COMPARTMENT, REPLACE THE RECIRCULATION FILTERS.",
SMOKE,noun,1,A gas that has particles of burned material and that you can see,"WHEN THE CONCENTRATION OF SMOKE IS MORE THAN THE LIMIT, AN ALARM OPERATES.",
"SMOKE (verb) , SMOKES, SMOKED, SMOKED",,1,To breathe the fumes of burning material and especially tobacco,DO NOT SMOKE IN THE WORK AREA.,
SMOOTH (adjective),"SMOOTHER, SMOOTHEST",1,1. That has a continuous uniform surface,MAKE SURE THAT THE PAINTED SURFACE IS SMOOTH.,
SMOOTH (adjective),"SMOOTHER, SMOOTHEST",1,2. That has a constant rate of movement,EXAMINE THE LINKAGE FOR SMOOTH MOVEMENT.,
SMOOTHLY,adverb,1,In a smooth manner,MAKE SURE THAT THE REDUCTION GEAR MOVES SMOOTHLY.,
"SOAK (verb) , SOAKS, SOAKED, SOAKED",,1,1. To put something into a liquid and keep it there until it is fully wet or soft,SOAK THE FILTER IN THE CLEANING SOLUTION FOR 4 HOURS.,
"SOAK (verb) , SOAKS, SOAKED, SOAKED",,1,2. To stay in liquid until fully wet or soft.,THE COMPONENT MUST SOAK IN THE SOLUTION FOR A MINIMUM OF 2 HOURS.,
SOFT (adjective),"SOFTER, SOFTEST",1,"Flexible, not hard","RUB THE SURFACE WITH A SOFT, DRY CLOTH.",
SOLID,adjective,1,That has the properties of a solid,THE RAILS ARE MADE FROM SOLID BARS.,
SOLID,noun,1,Material that is not a gas or a liquid,APPLY HEAT SLOWLY TO THE SOLID TO MONITOR ITS MELTING POINT.,
SOLUTION,noun,1,1. A liquid that includes a dissolved material,PREPARE THE SOLUTION IN A CONTAINER MADE OF CERAMIC MATERIAL.,
SOME,adjective,1,Related to a quantity not specified,SOME MODELS DO NOT HAVE THIS FUNCTION.,
SOME,pronoun,1,Related to a quantity not specified,"SOME MODELS HAVE THIS FUNCTION, BUT SOME DO NOT.",
SOMETHING,pronoun,1,A thing that is not determined or specified,"IF SOMETHING UNUSUAL OCCURS, DO THE NECESSARY CHECKS TO FIND THE CAUSE.",
SOUND,noun,1,Something that you can hear,INCREASE THE VOLUME OF THE SOUND.,
SOURCE,noun,1,1. Something that supplies energy or data,THE SOLAR PANEL IS A SATISFACTORY SOURCE OF ENERGY.,
SPACE,noun,1,"A distance, area, or volume",PUT THE SEALANT INTO THE SPACE BEHIND THE FLANGE OF THE WATER INJECTOR.,
SPARK,noun,1,"A hot, bright particle of a material that burns",DO NOT USE TEST EQUIPMENT THAT CAN CAUSE SPARKS.,
"SPEAK (verb) , SPEAKS, SPOKE, SPOKEN",,1,To use a voice to make words,SPEAK INTO THE MICROPHONE.,
SPECIAL,adjective,1,For a specified function,TIGHTEN THE SPECIAL NUT.,
SPECIALLY,adverb,1,In a special manner,THIS EXTRACTOR IS SPECIALLY MADE TO REMOVE THESE PINS.,
SPECIFIED,adjective,1,"Given in, identified in, or related to a specification, regulation, or procedure",INFLATE THE TIRE WITH NITROGEN TO THE SPECIFIED PRESSURE.,
SPEED,noun,1,The rate of movement,"ON THIS ROAD, THE MAXIMUM PERMITTED SPEED IS 30 MPH.",
SPHERICAL,adjective,1,That has the shape of a sphere,THE ACCUMULATORS ARE SPHERICAL AND HAVE BLADDERS.,
"SPILL (verb) , SPILLS, SPILLED, SPILLED",,1,"To accidentally flow, or cause to flow, out of a container","IF THE ELECTROLYTE SPILLS, REMOVE IT IMMEDIATELY.",
SPRAY,noun,1,A jet of very small drops of liquid,THE SEALANT IS RESISTANT TO SALT SPRAY.,
"SPRAY (verb) SPRAYS, SPRAYED, SPRAYED",,1,To apply as a spray,DO NOT SPRAY DISINFECTANTS DIRECTLY ONTO THE CARPETS OR INSTRUMENT PANELS.,
STABLE,adjective,1,That does not change or move,MAKE SURE THAT THE TEMPERATURE INDICATIONS ARE STABLE.,
STANDARD,adjective,1,Related to equipment and procedures that are normally used,"IN THIS PROCEDURE, USE STANDARD TOOLS.",
START,noun,1,The beginning of a movement or operation,MOVEMENT CAN BE SLOW AT THE START.,
"START (verb) , STARTS, STARTED, STARTED",,1,"1. To begin a procedure, movement, or operation",START THE ENGINE.,
"START (verb) , STARTS, STARTED, STARTED",,1,"2. To come into being, activity, or operation",MEASURE THE BEND RADIUS OF THE HOSE FROM THE POINT WHERE THE BEND STARTS.,
"STAY (verb) , STAYS, STAYED No other verb forms.",,1,To continue to be in a location or condition,MAKE SURE THAT THE ASSEMBLED PARTS STAY ALIGNED.,
STEP,noun,1,A specified part of a procedure,DO STEPS 13 THRU 16 A MINIMUM OF THREE TIMES.,
"STOP (verb) , STOPS, STOPPED, STOPPED",,1,"1. To cause the end of a procedure, movement, or an operation",STOP THE ENGINE.,
"STOP (verb) , STOPS, STOPPED, STOPPED",,1,2. To come to an end,"WHEN THE FLOW STOPS, REMOVE THE DRAIN HOSE.",
"STOW (verb) , STOWS, STOWED, STOWED",,1,To move or cause to move into a specified position of storage.,STOW THE LIFE VEST SAFELY BELOW THE PASSENGER SEAT.,
STRAIGHT (adjective),"STRAIGHTER, STRAIGHTEST",1,,STRAIGHT PART OF THE RIGGING PIN IS SMOOTH.,
STRIP,noun,1,"A piece of material that is long and thin, but not wide",PUT A STRIP OF ADHESIVE TAPE ALONG THE INSULATION BLANKET.,
STRIPE,noun,1,A line on a surface which is a different color,THE FLAG HAS RED AND WHITE STRIPES.,
STRONG (adjective),"STRONGER, STRONGEST",1,"With much strength, power, or concentration","WHEN WINDS ARE STRONG, MOOR THE AIRCRAFT CAREFULLY.",
STRUCTURAL,adjective,1,Related to the structure,THE CHASSIS IS A STRUCTURAL COMPONENT OF THE VEHICLE.,
STRUCTURALLY,adverb,1,Related to the structure,THE LIST GIVES YOU STRUCTURALLY IMPORTANT ITEMS.,
STRUCTURE,noun,1,1. A construction,ATTACH THE WIRES TO THE STRUCTURE.,
SUBASSEMBLY,noun,1,An assembly that is a part of a larger assembly,DO NOT CHANGE THE POSITION OF THE SUBASSEMBLIES.,
SUBSEQUENT,adjective,1,Following in an unspecified time or sequence,A SUBSEQUENT REPAIR WILL BE FOR THE NEW CONFIGURATION ONLY.,
SUBSEQUENTLY,adverb,1,,TOOL IS SUBSEQUENTLY AVAILABLE FOR THE INSTALLATION PROCEDURE.,
"SUBTRACT (verb) , SUBTRACTS, SUBTRACTED, SUBTRACTED",,1,To take from a number or quantity,SUBTRACT COEFFICIENT “A” FROM THE INDICATION.,
SUCH,adjective,1,Of the same group,"WHEN YOU DO WORK ON SUCH SYSTEMS, USE GOGGLES.",
SUDDEN,adjective,1,That occurs in a short time,SUDDEN MOVEMENT CAN CAUSE DAMAGE TO THE LIMIT STOPS.,
SUDDENLY,adverb,1,In a sudden manner,"IF THE TEMPERATURE INCREASES SUDDENLY, STOP THE ENGINE.",
SUFFICIENT,adjective,1,Not less (or more) than necessary,ADJUST THE CLAMP UNTIL THERE IS SUFFICIENT FRICTION TO KEEP IT IN POSITION.,
SUFFICIENTLY,adverb,1,Not less (or more) than necessary,"WHEN THE PAINT IS SUFFICIENTLY SOFT, REMOVE IT WITH A PLASTIC SPATULA.",
SUM,noun,1,,OF THE LOADS FOR EACH AREA.,
SUPPLY,noun,1,Something that is supplied,STOP THE ELECTRICAL POWER SUPPLY.,
"SUPPLY (verb) , SUPPLIES, SUPPLIED, SUPPLIED",,1,1. To give something that is necessary,SUPPLY ELECTRICAL POWER TO THE AUXILIARY SYSTEM.,
SURE,adjective,1,Certain,"IF YOU ARE NOT SURE THAT A PART IS SERVICEABLE, DISCARD IT.",
SURFACE,noun,1,One or more of the faces of something,"CLEAN THE SURFACE WITH A SOFT, DRY CLOTH.",
"SWALLOW (verb) , SWALLOWS, SWALLOWED, SWALLOWED",,1,To take through the mouth and esophagus into the stomach Use this word for safety instructions only.,"IF YOU SWALLOW NITRIC ACID, DO NOT CAUSE VOMITING. GET MEDICAL AID IMMEDIATELY.",
SYMBOL,noun,1,"A written sign that identifies a quantity, operation, item, or condition","THE SPECIFICATION GIVES THE SYMBOLS FOR RELAYS, DIODES, AND OTHER PARTS OF THE SYSTEM.",
SYMMETRICAL,adjective,1,That has or is with symmetry,MAKE SURE THAT THE POSITION OF THE PARTS IS SYMMETRICAL.,
SYMMETRICALLY,adverb,1,,MUST MOVE SYMMETRICALLY.,
SYMPTOM,noun,1,A sign of a condition,"IF THE SYMPTOMS OCCUR AGAIN, REMOVE THE UNIT.",
SYNCHRONIZED,adjective,1,1. That operates at the same time,MAKE SURE THAT THE TWO ROTORS ARE SYNCHRONIZED.,
SYSTEM,noun,1,An assembly of related parts to do a specified operation,DO NOT FILL THE SYSTEM DIRECTLY FROM A HIGH-PRESSURE CYLINDER.,
TACKY (adjective) No other forms of this adjective,,1,,"COMPOUND IS TACKY, APPLY THE PATCH.",
"TAG (verb) , TAGS, TAGGED, TAGGED",,1,To put a tag on,"OPEN AND TAG THE CIRCUIT BREAKERS. THEN, SAFETY THEM.",
